year,city,avg_temp,moving_average_temp
1750,Chicago,10.49,10.4900000000000000
1751,Chicago,11.19,10.8400000000000000
1752,Chicago,4.50,8.7266666666666667
1753,Chicago,10.04,9.0550000000000000
1754,Chicago,10.64,9.3720000000000000
1755,Chicago,7.41,9.0450000000000000
1756,Chicago,11.15,9.3457142857142857
1757,Chicago,9.50,9.3650000000000000
1758,Chicago,8.61,9.2811111111111111
1759,Chicago,9.59,9.3120000000000000
1760,Chicago,8.05,9.1972727272727273
1761,Chicago,10.40,9.2975000000000000
1762,Chicago,9.82,9.3376923076923077
1763,Chicago,7.72,9.2221428571428571
1764,Chicago,10.63,9.3160000000000000
1765,Chicago,9.78,9.3450000000000000
1766,Chicago,10.49,9.4123529411764706
1767,Chicago,9.41,9.4122222222222222
1768,Chicago,8.95,9.3878947368421053
1769,Chicago,9.79,9.4080000000000000
1770,Chicago,9.66,9.4200000000000000
1771,Chicago,10.44,9.4663636363636364
1772,Chicago,10.27,9.5013043478260870
1773,Chicago,10.42,9.5395833333333333
1774,Chicago,10.27,9.5688000000000000
1775,Chicago,10.99,9.6234615384615385
1776,Chicago,9.98,9.6366666666666667
1777,Chicago,9.67,9.6378571428571429
1778,Chicago,7.63,9.5686206896551724
1779,Chicago,10.32,9.5936666666666667
1780,Chicago,12.54,9.6887096774193548
1781,Chicago,10.18,9.7040625000000000
1782,Chicago,9.69,9.7036363636363636
1783,Chicago,9.44,9.6958823529411765
1784,Chicago,9.40,9.6874285714285714
1785,Chicago,9.20,9.6738888888888889
1786,Chicago,9.75,9.6759459459459459
1787,Chicago,9.78,9.6786842105263158
1788,Chicago,10.28,9.6941025641025641
1789,Chicago,10.03,9.7025000000000000
1790,Chicago,9.93,9.7080487804878049
1791,Chicago,10.12,9.7178571428571429
1792,Chicago,9.62,9.7155813953488372
1793,Chicago,10.20,9.7265909090909091
1794,Chicago,10.30,9.7393333333333333
1795,Chicago,10.01,9.7452173913043478
1796,Chicago,9.92,9.7489361702127660
1797,Chicago,9.66,9.7470833333333333
1798,Chicago,10.43,9.7610204081632653
1799,Chicago,10.11,9.7680000000000000
1800,Chicago,10.11,9.7747058823529412
1801,Chicago,10.47,9.7880769230769231
1802,Chicago,10.66,9.8045283018867925
1803,Chicago,10.48,9.8170370370370370
1804,Chicago,10.41,9.8278181818181818
1805,Chicago,10.63,9.8421428571428571
1806,Chicago,10.10,9.8466666666666667
1807,Chicago,9.88,9.8472413793103448
1808,Chicago,9.84,9.8471186440677966
1809,Chicago,9.04,9.8336666666666667
1810,Chicago,9.22,9.8236065573770492
1811,Chicago,9.37,9.8162903225806452
1812,Chicago,8.34,9.7928571428571429
1813,Chicago,9.67,9.7909375000000000
