year,city,city_average_temp,global_average_temp,moving_city_average_temp,moving_global_average_temp
1750,Chicago,10.49,8.72,10.4900000000000000,8.7200000000000000
1751,Chicago,11.19,7.98,10.8400000000000000,8.3500000000000000
1752,Chicago,4.50,5.78,8.7266666666666667,7.4933333333333333
1753,Chicago,10.04,8.39,9.0550000000000000,7.7175000000000000
1754,Chicago,10.64,8.47,9.3720000000000000,7.8680000000000000
1755,Chicago,7.41,8.36,9.0450000000000000,7.9500000000000000
1756,Chicago,11.15,8.85,9.3457142857142857,8.0785714285714286
1757,Chicago,9.50,9.02,9.3650000000000000,8.1962500000000000
1758,Chicago,8.61,6.74,9.2811111111111111,8.0344444444444444
1759,Chicago,9.59,7.99,9.3120000000000000,8.0300000000000000
1760,Chicago,8.05,7.19,9.1972727272727273,7.9536363636363636
1761,Chicago,10.40,8.77,9.2975000000000000,8.0216666666666667
1762,Chicago,9.82,8.61,9.3376923076923077,8.0669230769230769
1763,Chicago,7.72,7.50,9.2221428571428571,8.0264285714285714
1764,Chicago,10.63,8.40,9.3160000000000000,8.0513333333333333
1765,Chicago,9.78,8.25,9.3450000000000000,8.0637500000000000
1766,Chicago,10.49,8.41,9.4123529411764706,8.0841176470588235
1767,Chicago,9.41,8.22,9.4122222222222222,8.0916666666666667
1768,Chicago,8.95,6.78,9.3878947368421053,8.0226315789473684
1769,Chicago,9.79,7.69,9.4080000000000000,8.0060000000000000
1770,Chicago,9.66,7.69,9.4200000000000000,7.9909523809523810
1771,Chicago,10.44,7.85,9.4663636363636364,7.9845454545454545
1772,Chicago,10.27,8.19,9.5013043478260870,7.9934782608695652
1773,Chicago,10.42,8.22,9.5395833333333333,8.0029166666666667
1774,Chicago,10.27,8.77,9.5688000000000000,8.0336000000000000
1775,Chicago,10.99,9.18,9.6234615384615385,8.0776923076923077
1776,Chicago,9.98,8.30,9.6366666666666667,8.0859259259259259
1777,Chicago,9.67,8.26,9.6378571428571429,8.0921428571428571
1778,Chicago,7.63,8.54,9.5686206896551724,8.1075862068965517
1779,Chicago,10.32,8.98,9.5936666666666667,8.1366666666666667
1780,Chicago,12.54,9.43,9.6887096774193548,8.1783870967741935
1781,Chicago,10.18,8.10,9.7040625000000000,8.1759375000000000
1782,Chicago,9.69,7.90,9.7036363636363636,8.1675757575757576
1783,Chicago,9.44,7.68,9.6958823529411765,8.1532352941176471
1784,Chicago,9.40,7.86,9.6874285714285714,8.1448571428571429
1785,Chicago,9.20,7.36,9.6738888888888889,8.1230555555555556
1786,Chicago,9.75,8.26,9.6759459459459459,8.1267567567567568
1787,Chicago,9.78,8.03,9.6786842105263158,8.1242105263157895
1788,Chicago,10.28,8.45,9.6941025641025641,8.1325641025641026
1789,Chicago,10.03,8.33,9.7025000000000000,8.1375000000000000
1790,Chicago,9.93,7.98,9.7080487804878049,8.1336585365853659
1791,Chicago,10.12,8.23,9.7178571428571429,8.1359523809523810
1792,Chicago,9.62,8.09,9.7155813953488372,8.1348837209302326
1793,Chicago,10.20,8.23,9.7265909090909091,8.1370454545454545
1794,Chicago,10.30,8.53,9.7393333333333333,8.1457777777777778
1795,Chicago,10.01,8.35,9.7452173913043478,8.1502173913043478
1796,Chicago,9.92,8.27,9.7489361702127660,8.1527659574468085
1797,Chicago,9.66,8.51,9.7470833333333333,8.1602083333333333
1798,Chicago,10.43,8.67,9.7610204081632653,8.1706122448979592
1799,Chicago,10.11,8.51,9.7680000000000000,8.1774000000000000
1800,Chicago,10.11,8.48,9.7747058823529412,8.1833333333333333
1801,Chicago,10.47,8.59,9.7880769230769231,8.1911538461538462
1802,Chicago,10.66,8.58,9.8045283018867925,8.1984905660377358
1803,Chicago,10.48,8.50,9.8170370370370370,8.2040740740740741
1804,Chicago,10.41,8.84,9.8278181818181818,8.2156363636363636
1805,Chicago,10.63,8.56,9.8421428571428571,8.2217857142857143
1806,Chicago,10.10,8.43,9.8466666666666667,8.2254385964912281
1807,Chicago,9.88,8.28,9.8472413793103448,8.2263793103448276
1808,Chicago,9.84,7.63,9.8471186440677966,8.2162711864406780
1809,Chicago,9.04,7.08,9.8336666666666667,8.1973333333333333
1810,Chicago,9.22,6.92,9.8236065573770492,8.1763934426229508
1811,Chicago,9.37,6.86,9.8162903225806452,8.1551612903225806
1812,Chicago,8.34,7.05,9.7928571428571429,8.1376190476190476
1813,Chicago,9.67,7.74,9.7909375000000000,8.1314062500000000
1814,Chicago,9.55,7.59,9.7872307692307692,8.1230769230769231
1815,Chicago,8.86,7.24,9.7731818181818182,8.1096969696969697
1816,Chicago,8.27,6.94,9.7507462686567164,8.0922388059701493
1817,Chicago,8.54,6.98,9.7329411764705882,8.0758823529411765
1818,Chicago,9.42,7.83,9.7284057971014493,8.0723188405797101
1819,Chicago,9.19,7.37,9.7207142857142857,8.0622857142857143
1820,Chicago,9.02,7.62,9.7108450704225352,8.0560563380281690
1821,Chicago,9.08,8.09,9.7020833333333333,8.0565277777777778
1822,Chicago,9.87,8.19,9.7043835616438356,8.0583561643835616
1823,Chicago,9.31,7.72,9.6990540540540541,8.0537837837837838
1824,Chicago,9.57,8.55,9.6973333333333333,8.0604000000000000
1825,Chicago,10.87,8.39,9.7127631578947368,8.0647368421052632
1826,Chicago,10.19,8.36,9.7189610389610390,8.0685714285714286
1827,Chicago,10.58,8.81,9.7300000000000000,8.0780769230769231
1828,Chicago,11.00,8.17,9.7460759493670886,8.0792405063291139
1829,Chicago,9.94,7.94,9.7485000000000000,8.0775000000000000
1830,Chicago,11.11,8.52,9.7653086419753086,8.0829629629629630
1831,Chicago,9.02,7.64,9.7562195121951220,8.0775609756097561
1832,Chicago,10.33,7.45,9.7631325301204819,8.0700000000000000
1833,Chicago,10.70,8.01,9.7742857142857143,8.0692857142857143
1834,Chicago,10.92,8.15,9.7877647058823529,8.0702352941176471
1835,Chicago,9.44,7.39,9.7837209302325581,8.0623255813953488
1836,Chicago,8.68,7.70,9.7710344827586207,8.0581609195402299
1837,Chicago,9.42,7.38,9.7670454545454545,8.0504545454545455
1838,Chicago,8.81,7.51,9.7562921348314607,8.0443820224719101
1839,Chicago,10.57,7.63,9.7653333333333333,8.0397777777777778
1840,Chicago,10.24,7.80,9.7705494505494505,8.0371428571428571
1841,Chicago,9.83,7.69,9.7711956521739130,8.0333695652173913
1842,Chicago,10.32,8.02,9.7770967741935484,8.0332258064516129
1843,Chicago,8.78,8.17,9.7664893617021277,8.0346808510638298
1844,Chicago,10.28,7.65,9.7718947368421053,8.0306315789473684
1845,Chicago,10.60,7.85,9.7805208333333333,8.0287500000000000
1846,Chicago,11.29,8.55,9.7960824742268041,8.0341237113402062
1847,Chicago,9.23,8.09,9.7903061224489796,8.0346938775510204
1848,Chicago,9.77,7.98,9.7901010101010101,8.0341414141414141
1849,Chicago,9.34,7.98,9.7856000000000000,8.0336000000000000
1850,Chicago,9.89,7.90,9.7866336633663366,8.0322772277227723
1851,Chicago,10.17,8.18,9.7903921568627451,8.0337254901960784
1852,Chicago,9.82,8.10,9.7906796116504854,8.0343689320388350
1853,Chicago,10.21,8.04,9.7947115384615385,8.0344230769230769
1854,Chicago,10.96,8.21,9.8058095238095238,8.0360952380952381
1855,Chicago,9.71,8.11,9.8049056603773585,8.0367924528301887
1856,Chicago,8.66,8.00,9.7942056074766355,8.0364485981308411
1857,Chicago,8.76,7.76,9.7846296296296296,8.0338888888888889
1858,Chicago,10.53,8.10,9.7914678899082569,8.0344954128440367
1859,Chicago,9.76,8.25,9.7911818181818182,8.0364545454545455
1860,Chicago,9.75,7.96,9.7908108108108108,8.0357657657657658
1861,Chicago,9.62,7.85,9.7892857142857143,8.0341071428571429
1862,Chicago,9.36,7.56,9.7854867256637168,8.0299115044247788
1863,Chicago,9.73,8.11,9.7850000000000000,8.0306140350877193
1864,Chicago,9.35,7.98,9.7812173913043478,8.0301739130434783
1865,Chicago,9.92,8.18,9.7824137931034483,8.0314655172413793
1866,Chicago,9.05,8.29,9.7761538461538462,8.0336752136752137
1867,Chicago,9.43,8.44,9.7732203389830508,8.0371186440677966
1868,Chicago,8.88,8.25,9.7657142857142857,8.0389075630252101
1869,Chicago,8.73,8.43,9.7570833333333333,8.0421666666666667
1870,Chicago,10.55,8.20,9.7636363636363636,8.0434710743801653
1871,Chicago,9.91,8.12,9.7648360655737705,8.0440983606557377
1872,Chicago,8.72,8.19,9.7563414634146341,8.0452845528455285
1873,Chicago,8.84,8.35,9.7489516129032258,8.0477419354838710
1874,Chicago,10.18,8.43,9.7524000000000000,8.0508000000000000
1875,Chicago,7.80,7.86,9.7369047619047619,8.0492857142857143
1876,Chicago,9.69,8.08,9.7365354330708661,8.0495275590551181
1877,Chicago,10.68,8.54,9.7439062500000000,8.0533593750000000
1878,Chicago,11.31,8.83,9.7560465116279070,8.0593798449612403
1879,Chicago,10.11,8.17,9.7587692307692308,8.0602307692307692
1880,Chicago,10.46,8.12,9.7641221374045802,8.0606870229007634
1881,Chicago,10.25,8.27,9.7678030303030303,8.0622727272727273
1882,Chicago,10.38,8.13,9.7724060150375940,8.0627819548872180
1883,Chicago,8.42,7.98,9.7623134328358209,8.0621641791044776
1884,Chicago,9.35,7.77,9.7592592592592593,8.0600000000000000
1885,Chicago,7.96,7.92,9.7460294117647059,8.0589705882352941
1886,Chicago,9.40,7.95,9.7435036496350365,8.0581751824817518
1887,Chicago,9.64,7.91,9.7427536231884058,8.0571014492753623
1888,Chicago,8.74,8.09,9.7355395683453237,8.0573381294964029
1889,Chicago,10.02,8.32,9.7375714285714286,8.0592142857142857
1890,Chicago,10.21,7.97,9.7409219858156028,8.0585815602836879
1891,Chicago,10.29,8.02,9.7447887323943662,8.0583098591549296
1892,Chicago,9.21,8.07,9.7410489510489510,8.0583916083916084
1893,Chicago,8.91,8.06,9.7352777777777778,8.0584027777777778
1894,Chicago,10.79,8.16,9.7425517241379310,8.0591034482758621
1895,Chicago,9.32,8.15,9.7396575342465753,8.0597260273972603
1896,Chicago,10.39,8.21,9.7440816326530612,8.0607482993197279
1897,Chicago,10.05,8.29,9.7461486486486486,8.0622972972972973
1898,Chicago,10.24,8.18,9.7494630872483221,8.0630872483221477
1899,Chicago,10.12,8.40,9.7519333333333333,8.0653333333333333
1900,Chicago,10.63,8.50,9.7577483443708609,8.0682119205298013
1901,Chicago,9.87,8.54,9.7584868421052632,8.0713157894736842
1902,Chicago,10.04,8.30,9.7603267973856209,8.0728104575163399
1903,Chicago,9.57,8.22,9.7590909090909091,8.0737662337662338
1904,Chicago,8.56,8.09,9.7513548387096774,8.0738709677419355
1905,Chicago,9.42,8.23,9.7492307692307692,8.0748717948717949
1906,Chicago,10.56,8.38,9.7543949044585987,8.0768152866242038
1907,Chicago,9.32,7.95,9.7516455696202532,8.0760126582278481
1908,Chicago,10.68,8.19,9.7574842767295597,8.0767295597484277
1909,Chicago,9.89,8.18,9.7583125000000000,8.0773750000000000
1910,Chicago,10.20,8.22,9.7610559006211180,8.0782608695652174
