year,city,city_average_temp,global_average_temp,moving_city_average_temp,moving_global_average_temp
1743,Chicago,5.44,,5.4400000000000000,8.3593939393939394
1744,Chicago,11.73,,8.5850000000000000,8.3593939393939394
1745,Chicago,1.80,,6.3233333333333333,8.3593939393939394
1746,Chicago,,,6.3233333333333333,8.3593939393939394
1747,Chicago,,,6.3233333333333333,8.3593939393939394
1748,Chicago,,,6.3233333333333333,8.3593939393939394
1749,Chicago,,,6.3233333333333333,8.3593939393939394
1750,Chicago,10.49,8.72,7.3650000000000000,8.7200000000000000
1751,Chicago,11.19,7.98,8.1300000000000000,8.3500000000000000
1752,Chicago,4.50,5.78,7.5250000000000000,7.4933333333333333
1753,Chicago,10.04,8.39,7.8842857142857143,7.7175000000000000
1754,Chicago,10.64,8.47,8.2287500000000000,7.8680000000000000
1755,Chicago,7.41,8.36,8.1377777777777778,7.9500000000000000
1756,Chicago,11.15,8.85,8.4390000000000000,8.0785714285714286
1757,Chicago,9.50,9.02,8.5354545454545455,8.1962500000000000
1758,Chicago,8.61,6.74,8.5416666666666667,8.0344444444444444
1759,Chicago,9.59,7.99,8.6223076923076923,8.0300000000000000
1760,Chicago,8.05,7.19,8.5814285714285714,7.9536363636363636
1761,Chicago,10.40,8.77,8.7026666666666667,8.0216666666666667
1762,Chicago,9.82,8.61,8.7725000000000000,8.0669230769230769
1763,Chicago,7.72,7.50,8.7105882352941176,8.0264285714285714
1764,Chicago,10.63,8.40,8.8172222222222222,8.0513333333333333
1765,Chicago,9.78,8.25,8.8678947368421053,8.0637500000000000
1766,Chicago,10.49,8.41,8.9490000000000000,8.0841176470588235
1767,Chicago,9.41,8.22,8.9709523809523810,8.0916666666666667
1768,Chicago,8.95,6.78,8.9700000000000000,8.0226315789473684
1769,Chicago,9.79,7.69,9.0056521739130435,8.0060000000000000
1770,Chicago,9.66,7.69,9.0329166666666667,7.9909523809523810
1771,Chicago,10.44,7.85,9.0892000000000000,7.9845454545454545
1772,Chicago,10.27,8.19,9.1346153846153846,7.9934782608695652
1773,Chicago,10.42,8.22,9.1822222222222222,8.0029166666666667
1774,Chicago,10.27,8.77,9.2210714285714286,8.0336000000000000
1775,Chicago,10.99,9.18,9.2820689655172414,8.0776923076923077
1776,Chicago,9.98,8.30,9.3053333333333333,8.0859259259259259
1777,Chicago,9.67,8.26,9.3170967741935484,8.0921428571428571
1778,Chicago,7.63,8.54,9.2643750000000000,8.1075862068965517
1779,Chicago,10.32,8.98,9.2963636363636364,8.1366666666666667
1780,Chicago,12.54,9.43,9.3917647058823529,8.1783870967741935
1781,Chicago,10.18,8.10,9.4142857142857143,8.1759375000000000
1782,Chicago,9.69,7.90,9.4219444444444444,8.1675757575757576
1783,Chicago,9.44,7.68,9.4224324324324324,8.1532352941176471
1784,Chicago,9.40,7.86,9.4218421052631579,8.1448571428571429
1785,Chicago,9.20,7.36,9.4161538461538462,8.1230555555555556
1786,Chicago,9.75,8.26,9.4245000000000000,8.1267567567567568
1787,Chicago,9.78,8.03,9.4331707317073171,8.1242105263157895
1788,Chicago,10.28,8.45,9.4533333333333333,8.1325641025641026
1789,Chicago,10.03,8.33,9.4667441860465116,8.1375000000000000
1790,Chicago,9.93,7.98,9.4772727272727273,8.1336585365853659
1791,Chicago,10.12,8.23,9.4915555555555556,8.1359523809523810
1792,Chicago,9.62,8.09,9.4943478260869565,8.1348837209302326
1793,Chicago,10.20,8.23,9.5093617021276596,8.1370454545454545
1794,Chicago,10.30,8.53,9.5258333333333333,8.1457777777777778
1795,Chicago,10.01,8.35,9.5357142857142857,8.1502173913043478
1796,Chicago,9.92,8.27,9.5434000000000000,8.1527659574468085
1797,Chicago,9.66,8.51,9.5456862745098039,8.1602083333333333
1798,Chicago,10.43,8.67,9.5626923076923077,8.1706122448979592
1799,Chicago,10.11,8.51,9.5730188679245283,8.1774000000000000
1800,Chicago,10.11,8.48,9.5829629629629630,8.1833333333333333
1801,Chicago,10.47,8.59,9.5990909090909091,8.1911538461538462
1802,Chicago,10.66,8.58,9.6180357142857143,8.1984905660377358
1803,Chicago,10.48,8.50,9.6331578947368421,8.2040740740740741
1804,Chicago,10.41,8.84,9.6465517241379310,8.2156363636363636
1805,Chicago,10.63,8.56,9.6632203389830508,8.2217857142857143
1806,Chicago,10.10,8.43,9.6705000000000000,8.2254385964912281
1807,Chicago,9.88,8.28,9.6739344262295082,8.2263793103448276
1808,Chicago,9.84,7.63,9.6766129032258065,8.2162711864406780
1809,Chicago,9.04,7.08,9.6665079365079365,8.1973333333333333
1810,Chicago,9.22,6.92,9.6595312500000000,8.1763934426229508
1811,Chicago,9.37,6.86,9.6550769230769231,8.1551612903225806
1812,Chicago,8.34,7.05,9.6351515151515152,8.1376190476190476
1813,Chicago,9.67,7.74,9.6356716417910448,8.1314062500000000
1814,Chicago,9.55,7.59,9.6344117647058824,8.1230769230769231
1815,Chicago,8.86,7.24,9.6231884057971014,8.1096969696969697
1816,Chicago,8.27,6.94,9.6038571428571429,8.0922388059701493
1817,Chicago,8.54,6.98,9.5888732394366197,8.0758823529411765
1818,Chicago,9.42,7.83,9.5865277777777778,8.0723188405797101
1819,Chicago,9.19,7.37,9.5810958904109589,8.0622857142857143
1820,Chicago,9.02,7.62,9.5735135135135135,8.0560563380281690
1821,Chicago,9.08,8.09,9.5669333333333333,8.0565277777777778
1822,Chicago,9.87,8.19,9.5709210526315789,8.0583561643835616
1823,Chicago,9.31,7.72,9.5675324675324675,8.0537837837837838
1824,Chicago,9.57,8.55,9.5675641025641026,8.0604000000000000
1825,Chicago,10.87,8.39,9.5840506329113924,8.0647368421052632
1826,Chicago,10.19,8.36,9.5916250000000000,8.0685714285714286
1827,Chicago,10.58,8.81,9.6038271604938272,8.0780769230769231
1828,Chicago,11.00,8.17,9.6208536585365854,8.0792405063291139
1829,Chicago,9.94,7.94,9.6246987951807229,8.0775000000000000
1830,Chicago,11.11,8.52,9.6423809523809524,8.0829629629629630
1831,Chicago,9.02,7.64,9.6350588235294118,8.0775609756097561
1832,Chicago,10.33,7.45,9.6431395348837209,8.0700000000000000
1833,Chicago,10.70,8.01,9.6552873563218391,8.0692857142857143
1834,Chicago,10.92,8.15,9.6696590909090909,8.0702352941176471
1835,Chicago,9.44,7.39,9.6670786516853933,8.0623255813953488
1836,Chicago,8.68,7.70,9.6561111111111111,8.0581609195402299
1837,Chicago,9.42,7.38,9.6535164835164835,8.0504545454545455
1838,Chicago,8.81,7.51,9.6443478260869565,8.0443820224719101
1839,Chicago,10.57,7.63,9.6543010752688172,8.0397777777777778
1840,Chicago,10.24,7.80,9.6605319148936170,8.0371428571428571
1841,Chicago,9.83,7.69,9.6623157894736842,8.0333695652173913
1842,Chicago,10.32,8.02,9.6691666666666667,8.0332258064516129
1843,Chicago,8.78,8.17,9.6600000000000000,8.0346808510638298
1844,Chicago,10.28,7.65,9.6663265306122449,8.0306315789473684
1845,Chicago,10.60,7.85,9.6757575757575758,8.0287500000000000
